"S1.bam" "S10.bam" "S11.bam" "S12.bam" "S2.bam" "S3.bam" "S4.bam" "S5.bam" "S6.bam" "S7.bam" "S8.bam" "S9.bam"
"PAS and helix-turn-helix domain-containing protein" 324 262 215 279 277 431 261 286 396 169 194 312
"ABC transporter ATP-binding protein_17" 1094 55 71 121 1416 2416 1042 983 1549 396 835 824
"ABC transporter ATP-binding protein_18" 245 41 29 49 409 610 368 342 477 95 228 264
"branched-chain amino acid ABC transporter permease_4" 921 36 33 73 780 1488 699 645 991 296 561 427
"branched-chain amino acid ABC transporter permease_5" 610 26 18 46 715 1210 632 641 792 248 435 392
"substrate-binding protein" 3870 221 162 332 4368 6894 4068 4102 5456 1408 2778 2846
"short-chain fatty acyl-CoA regulator family protein_1" 133 339 177 409 103 154 116 102 146 174 205 256
"response regulator_5" 120 79 69 173 82 136 137 91 110 104 154 179
"hypothetical protein_233" 122 53 40 80 75 151 95 59 94 54 84 46
"sensor histidine kinase_2" 227 169 105 162 219 330 313 223 387 129 166 226
"FliM/FliN family flagellar motor C-terminal domain-containing protein_1" 659 745 535 900 512 705 913 737 1009 335 389 638
"TIGR01244 family sulfur transferase" 560 551 401 571 613 897 692 569 895 352 470 742
"hypothetical protein_234" 57 60 62 118 68 80 71 52 87 57 84 82
"YeeE/YedE family protein_4" 34 19 9 31 21 22 32 15 28 8 25 34
"MBL fold metallo-hydrolase_6" 216 428 325 672 196 323 263 221 335 372 505 512
"hypothetical protein_235" 134 279 143 202 134 131 163 133 178 340 642 612
"hypothetical protein_236" 243 169 77 58 173 268 152 152 238 134 181 311
"DUF2312 domain-containing protein_2" 548 463 311 199 527 805 556 570 795 549 601 968
"RidA family protein_3" 68 96 55 27 62 103 109 83 101 59 106 128
"NAD(P)-dependent oxidoreductase_3" 136 559 444 959 142 204 125 92 158 405 708 834
"NAD-dependent dihydropyrimidine dehydrogenase subunit PreA" 259 824 838 1943 194 372 203 140 231 853 1206 1536
"TetR/AcrR family transcriptional regulator_10" 181 514 298 497 186 274 210 191 311 177 249 386
"Zn-dependent hydrolase_2" 398 2038 1421 1986 352 562 408 301 412 799 1165 1463
"dihydropyrimidinase" 206 360 292 631 145 288 226 135 201 347 557 653
"ABC transporter ATP-binding protein_19" 86 101 107 193 61 145 76 53 73 109 191 220
"ABC transporter permease_18" 50 66 33 112 41 72 29 22 38 69 70 115
"ABC transporter permease_19" 23 34 33 94 25 36 31 22 43 35 61 77
"ABC transporter substrate-binding protein_15" 1983 1533 1205 1943 1365 1986 1561 1442 1814 1361 1808 2490
"DUF6500 family protein" 67 210 124 82 75 142 203 165 232 55 83 101
"4Fe-4S binding protein_1" 235 4025 3089 6800 154 315 660 431 610 481 578 800
"flavin reductase family protein_2" 396 1018 719 684 449 656 587 471 643 409 558 813
"adenylate kinase_1" 2654 769 524 927 2719 3940 2742 2613 3621 1791 2760 3617
"acetate--CoA ligase" 6330 1255 1065 2125 5241 7812 5103 5495 7326 3521 5818 5885
"TRAP transporter substrate-binding protein_2" 3337 1460 1054 1474 3125 4021 3182 3310 4060 1801 2718 3508
"TRAP transporter small permease_2" 434 116 59 110 247 372 352 264 414 117 217 253
"TRAP transporter large permease_2" 815 313 201 331 570 902 678 595 828 385 589 686
"PepSY domain-containing protein_2" 28 36 15 24 30 58 20 41 50 10 19 22
"glycine zipper domain-containing protein" 13 13 3 6 10 14 21 31 28 2 9 16
"response regulator transcription factor_2" 228 332 249 406 183 252 232 188 262 190 261 367
"ATP-binding protein_8" 172 262 181 244 157 247 260 216 256 159 248 283
"tetracycline resistance MFS efflux pump" 1179 1845 1267 1496 1020 1465 1084 1089 1751 838 1127 1789
"MBL fold metallo-hydrolase_7" 224 512 327 372 304 410 314 318 483 252 344 528
"ATP-binding protein_9" 157 189 111 155 186 275 217 181 290 147 162 257
"Gfo/Idh/MocA family oxidoreductase_5" 242 598 444 812 230 321 297 242 291 312 525 641
"GntR family transcriptional regulator_5" 62 209 161 227 72 113 89 83 124 133 219 259
"LLM class flavin-dependent oxidoreductase_2" 85 260 160 278 81 154 137 97 160 225 360 363
"aldo/keto reductase_2" 332 672 465 932 282 345 351 248 384 478 745 781
"flavin reductase family protein_3" 81 162 102 151 62 92 75 64 98 100 174 208
"TRAP transporter small permease subunit_1" 34 53 24 59 26 34 32 29 29 33 101 92
"TRAP transporter large permease_3" 132 216 173 238 116 146 127 111 156 177 287 342
"TRAP transporter substrate-binding protein DctP" 402 403 314 413 472 557 547 406 682 490 708 854
"sel1 repeat family protein" 203 280 164 209 158 221 223 190 256 140 213 329
"cytochrome C peroxidase" 72 80 52 67 61 91 59 65 79 58 90 105
"mannitol dehydrogenase family protein" 57 63 57 71 65 76 70 63 80 47 91 79
"L-iditol 2-dehydrogenase" 22 30 33 46 15 39 21 38 31 18 34 22
"ABC transporter ATP-binding protein_20" 68 68 76 120 52 82 74 58 49 49 51 81
"carbohydrate ABC transporter permease_6" 32 90 63 96 38 49 53 60 80 62 83 102
"sugar ABC transporter permease_7" 38 106 106 115 45 47 72 56 69 58 68 89
"sugar ABC transporter substrate-binding protein_2" 100 142 94 148 94 155 188 129 188 145 286 196
"LacI family transcriptional regulator_2" 181 239 159 164 163 274 198 169 310 143 235 283
"LysR family transcriptional regulator_10" 345 542 398 449 288 471 334 255 352 373 553 708
"MBL fold metallo-hydrolase_8" 380 515 326 507 423 533 341 333 419 531 779 1211
"phosphoribosylformylglycinamidine cyclo-ligase" 596 395 331 587 359 613 409 398 464 341 451 601
"phosphoribosylglycinamide formyltransferase" 468 2787 2071 1587 392 767 554 422 605 381 425 689
"hypothetical protein_237" 95 851 765 863 96 123 131 130 131 83 105 168
"ribonuclease D_1" 1751 1439 1144 1897 1417 2388 1872 1740 2247 1036 1274 1902
"hypothetical protein_238" 753 711 449 604 589 904 758 642 901 476 672 1097
"SufE family protein" 1101 1370 895 1915 649 986 1205 641 1056 1083 1542 1729
"YafY family transcriptional regulator_2" 245 402 274 344 252 352 264 198 332 242 330 410
"glutathione S-transferase family protein_2" 19 33 33 15 25 29 22 28 34 22 25 32
"DUF1638 domain-containing protein" 153 272 201 361 103 172 117 126 146 215 307 341
"B12-binding domain-containing protein" 968 3407 2253 2525 1118 1522 1212 1005 1462 2637 3359 5060
"PA0069 family radical SAM protein" 163 335 263 248 182 284 222 207 343 192 254 387
"betaine--homocysteine S-methyltransferase" 1876 7008 4889 6280 1853 2776 2327 2059 3208 3267 4292 6118
"phosphatidylglycerol lysyltransferase domain-containing protein" 502 1226 1077 1681 538 744 907 849 1084 702 1083 1257
"DUF1476 domain-containing protein" 230 1875 845 649 317 330 375 372 399 871 1879 2161
"phosphoribosylaminoimidazolesuccinocarboxamide synthase" 5308 3580 2371 3421 3357 5381 4515 4166 6184 2469 3118 5273
"phosphoribosylformylglycinamidine synthase subunit PurS" 1509 529 225 342 472 667 491 459 905 379 657 656
"phosphoribosylformylglycinamidine synthase subunit PurQ" 1769 1657 1327 2091 1591 3175 2214 1693 2969 1641 2055 2404
"ATP-binding protein_10" 1676 1059 748 1092 1848 2607 2104 2306 2743 623 872 1189
"sigma-54 dependent transcriptional regulator_1" 5339 1300 898 1094 4834 6453 4880 5437 7193 1102 1614 2103
"Rne/Rng family ribonuclease" 13459 8232 6374 9539 10482 15743 13518 12093 17048 6005 8008 12157
"nuclear transport factor 2 family protein_4" 143 204 141 127 239 289 257 277 345 92 129 243
"sulfurtransferase TusA family protein" 42 136 83 54 110 182 133 144 200 68 99 161
"cytochrome C biogenesis protein CcdA_2" 838 755 462 561 582 770 606 511 795 591 930 1268
"hypothetical protein_239" 488 398 297 277 428 578 520 458 580 238 334 501
"cytochrome P450_1" 326 288 218 208 403 554 496 394 600 139 218 357
"ribbon-helix-helix domain-containing protein" 51 66 79 92 64 114 76 57 97 52 80 95
"DUF4169 family protein" 428 305 267 663 200 384 268 268 297 275 308 350
"class II fumarate hydratase" 2922 3870 3178 5764 3239 5291 3799 3238 4816 3684 5001 6020
"hypothetical protein_240" 899 2438 1656 2022 1091 1511 1196 1206 1613 1174 1450 2009
"ClpXP protease specificity-enhancing factor SspB" 177 312 184 258 141 210 132 121 200 156 186 239
"chromate efflux transporter" 129 115 95 97 113 176 118 91 145 95 164 184
"nuclear transport factor 2 family protein_5" 401 579 408 349 429 583 578 531 728 297 397 670
"efflux RND transporter periplasmic adaptor subunit_2" 3562 3803 2277 2360 3612 3994 9580 7345 5476 223 304 481
"ABC transporter ATP-binding protein_21" 6425 6684 4326 4307 5976 7402 16761 13188 9406 438 538 832
"ABC transporter permease_20" 3812 4022 2435 2182 4554 5479 13170 9444 6953 331 425 649
"ABC transporter permease_21" 3361 1686 1155 1459 2314 3038 6345 4533 3555 183 218 320
"hypothetical protein_241" 2216 1218 920 999 1932 2802 3469 2984 3992 158 154 313
"phosphopantetheine-binding protein" 394 432 197 144 612 781 799 927 1268 75 87 98
"hypothetical protein_242" 1391 590 613 970 1026 1827 1669 1523 2036 109 123 169
"hypothetical protein_243" 1086 666 596 681 1218 2114 2608 1780 2478 132 149 246
"alpha/beta hydrolase_6" 1170 505 336 439 897 1322 1744 1125 1754 64 88 153
"hypothetical protein_244" 1792 776 546 592 1658 2222 2257 2113 3391 118 170 244
"hypothetical protein_245" 1375 461 364 297 1222 1610 1568 1411 2320 106 104 187
"acyl-CoA dehydrogenase family protein_4" 6661 2743 1827 2057 5953 8283 8947 8104 11331 491 565 890
"hypothetical protein_246" 3691 1298 836 804 3182 4644 4761 4268 6093 205 274 512
"acyl--CoA ligase_2" 4271 1118 848 810 3415 5079 4200 4191 6066 251 279 446
"acyl carrier protein_1" 529 195 104 74 656 791 853 832 1084 51 41 64
"AMP-binding protein_3" 3483 1074 683 563 3635 5438 6021 4754 6914 262 290 497
"cytochrome P450_2" 2775 886 687 470 3719 5232 4985 4529 6363 261 354 494
"AMP-binding protein_4" 3270 927 665 594 3503 4912 4376 4318 5753 251 298 420
"hypothetical protein_247" 2804 521 397 460 2207 3180 2937 2756 3719 156 170 293
"LLM class flavin-dependent oxidoreductase_3" 1769 627 455 480 2201 3045 3173 3055 4010 237 230 343
"acyl-CoA dehydrogenase family protein_5" 1085 248 214 123 1246 1540 1489 1447 1969 94 126 125
"4'-phosphopantetheinyl transferase superfamily protein_2" 279 83 54 40 423 613 604 561 729 37 33 69
"hypothetical protein_248" 4029 5196 2766 2864 5029 5554 17107 12053 7080 218 275 456
"AraC family transcriptional regulator_4" 2154 1681 1019 1017 2384 3076 4812 4173 4453 777 1113 1711
"FadR family transcriptional regulator" 87 259 212 292 89 156 131 111 151 232 365 380
"acryloyl-CoA reductase" 738 703 571 1210 503 695 455 528 675 1049 1752 2005
"BCCT family transporter_2" 2954 1002 726 800 2728 3657 3305 2689 3996 657 1199 1712
"VOC family protein_4" 44 45 25 37 26 38 26 29 29 3 8 12
"aminotransferase class V-fold PLP-dependent enzyme_1" 909 1707 1424 1596 1329 1772 1703 1407 1706 1006 1374 1906
"DNA photolyase family protein" 1526 2193 1593 2311 1426 1978 1557 1374 1776 1008 1268 2223
"cyclopropane-fatty-acyl-phospholipid synthase family protein_1" 259 438 285 421 377 576 447 384 508 275 382 477
"TrgA family protein" 144 112 98 118 139 171 190 148 204 69 90 150
"NUDIX domain-containing protein_1" 722 705 551 633 678 966 774 654 887 426 658 879
"cysteine synthase A" 6277 6618 5171 7349 5557 7955 6316 5967 8045 4896 5904 9702
"DUF3772 domain-containing protein" 3950 2480 1768 2584 3031 4347 3617 3271 4648 1695 2376 3398
"alanyl-tRNA editing protein" 813 469 328 421 579 838 690 630 898 347 486 738
"LacI family DNA-binding transcriptional regulator_6" 166 143 112 122 176 205 169 169 184 77 118 172
"xylose isomerase" 291 315 204 312 293 432 355 305 477 262 303 400
"xylulokinase" 261 169 125 162 223 354 231 229 309 125 184 273
"Hint domain-containing protein_6" 538 373 233 333 425 591 430 444 610 172 304 341
"nucleotidyltransferase family protein_1" 109 315 181 290 146 202 186 156 195 123 185 230
"FAD-dependent oxidoreductase_4" 66 89 63 98 67 84 67 84 106 44 85 87
"HlyC/CorC family transporter" 1404 3731 2934 4718 1470 2152 1746 1434 2047 2674 3835 5237
"site-specific tyrosine recombinase XerD" 566 253 200 309 458 617 568 472 676 189 251 372
"hypothetical protein_249" 1358 1232 888 1763 1516 2022 1571 1532 2043 793 1224 1583
"shikimate kinase" 211 214 173 238 123 229 194 120 199 116 156 206
"3-dehydroquinate synthase" 157 172 132 258 123 185 142 106 170 140 164 186
"methyl-accepting chemotaxis protein_7" 573 1196 1003 1218 794 1076 988 813 1039 690 893 1325
"single-stranded DNA-binding protein_2" 653 1250 1087 1927 743 1510 929 934 1384 934 1061 1520
"lytic transglycosylase domain-containing protein_2" 248 464 444 646 253 394 235 219 391 382 437 594
"hypothetical protein_250" 460 430 291 317 541 896 584 539 736 227 327 502
"ABC transporter ATP-binding protein_22" 705 317 232 472 596 1120 589 559 1020 481 651 834
"ABC transporter permease_22" 451 385 327 506 439 686 638 557 796 312 515 649
"ABC transporter permease_23" 348 435 355 498 456 738 695 573 806 307 529 593
"ABC transporter substrate-binding protein_16" 3589 5048 4158 5504 4524 6317 6976 6892 8335 3531 5042 6684
"helix-turn-helix domain-containing protein_20" 946 5719 4029 4518 947 1342 1191 1088 1542 1178 1476 2754
"tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA" 416 295 302 380 347 528 357 318 519 251 286 449
"UMP kinase" 1514 1830 1208 1653 1363 2240 1779 1521 2294 1247 1665 2227
"ribosome recycling factor" 2131 3259 2286 2378 2269 3460 2787 2543 3283 2954 3622 5363
"isoprenyl transferase" 1063 947 714 1155 903 1499 971 980 1399 817 1142 1525
"phosphatidate cytidylyltransferase" 873 381 260 449 383 619 533 381 555 336 458 603
"1-deoxy-D-xylulose-5-phosphate reductoisomerase" 791 440 270 378 645 839 719 585 803 313 456 613
"RIP metalloprotease RseP" 2580 2625 1941 2742 1604 2399 1835 1679 2373 1671 2561 3272
"outer membrane protein assembly factor BamA" 5563 6038 4345 6061 5791 9042 6745 6233 8973 5113 6547 8936
"OmpH family outer membrane protein" 557 235 151 250 353 511 402 363 481 180 257 368
"3-hydroxyacyl-ACP dehydratase FabZ" 1503 1281 848 1100 1447 2029 1708 1452 2207 914 1212 1776
"acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase" 2914 1202 707 1024 1356 2009 1615 1468 2123 816 1124 1627
"UDP-2%2C3-diacylglucosamine diphosphatase LpxI" 725 368 238 415 486 706 571 529 692 247 353 550
"lipid-A-disaccharide synthase" 781 382 274 315 537 831 611 531 769 281 370 524
"tRNA 2-thiouridine(34) synthase MnmA" 1097 3335 2430 3457 1318 1786 1253 1209 1588 2394 3141 4529
"DUF1153 domain-containing protein" 903 845 798 1442 653 910 1147 1175 1252 416 445 852
"response regulator transcription factor_3" 1036 2808 3107 7579 1078 2031 2276 1622 2285 1226 1383 1879
"NAD-dependent DNA ligase LigA" 1021 983 664 1029 899 1246 982 845 1136 810 984 1478
"ATP-dependent DNA helicase RecG" 784 417 251 336 509 788 570 452 788 361 549 697
"iron-sulfur cluster assembly scaffold protein" 647 2204 1444 2146 810 1068 689 728 1100 1154 1670 2221
"phosphoribosyl-AMP cyclohydrolase" 609 455 172 289 319 508 357 335 534 261 332 520
"tRNA glutamyl-Q(34) synthetase GluQRS" 196 211 186 135 307 389 345 419 500 112 150 245
"methyltransferase domain-containing protein_2" 819 1059 967 1142 915 1327 986 1084 1369 653 839 1318
"methylenetetrahydrofolate--tRNA-(uracil(54)- C(5))-methyltransferase (FADH(2)-oxidizing) TrmFO" 1942 2550 1926 2795 1819 2930 1965 1935 2903 1945 2626 3841
"enoyl-CoA hydratase_1" 287 267 241 286 250 371 281 259 307 373 491 604
"PaaI family thioesterase_5" 167 100 61 65 151 188 144 138 167 81 125 162
"archaetidylserine decarboxylase" 670 755 504 594 494 830 733 768 1019 419 507 781
"hypothetical protein_251" 217 563 271 205 344 461 346 489 595 306 396 637
"polyamine aminopropyltransferase" 3956 4065 3253 4783 3070 4680 3355 2658 4464 2923 3451 5866
"adenosylmethionine decarboxylase" 4472 4924 3339 3604 3355 5365 3602 3173 5409 3438 4061 6382
"DUF1127 domain-containing protein_3" 194 332 217 313 376 516 308 277 314 229 381 595
"PLP-dependent aminotransferase family protein_3" 475 4118 3379 5889 555 715 509 414 637 2893 6606 5216
"hypothetical protein_252" 612 976 535 337 565 844 673 810 1214 300 379 713
"50S ribosomal protein L13" 12320 12762 7663 6133 21306 31300 21309 22763 34557 12638 14818 29748
"30S ribosomal protein S9" 23654 9979 6761 6649 16266 25148 16952 16892 26332 10525 11797 22754
"TetR/AcrR family transcriptional regulator_11" 274 609 470 472 380 494 449 349 571 325 534 753
"polyphosphate kinase 2_1" 513 1095 1104 1899 459 806 567 475 766 940 1263 1465
"alpha/beta hydrolase_7" 333 313 236 363 368 511 383 373 504 212 331 480
"homoserine O-succinyltransferase" 1232 1992 1460 1740 1248 1863 1572 1390 1888 1346 1931 2819
"ATPase_2" 148 325 205 229 256 465 328 335 437 201 237 480
"outer membrane protein transport protein_2" 809 852 608 897 1107 1539 1510 1409 1815 1423 2229 2483
"DMT family transporter_9" 506 509 356 472 375 485 530 374 501 272 296 448
"hypothetical protein_253" 636 1270 990 856 1166 1452 2207 1997 2663 549 630 1221
"glutamine-hydrolyzing GMP synthase" 3951 4558 3080 3686 4414 7123 4978 4876 7248 3426 4314 7114
"trimethylamine methyltransferase family protein_2" 228 1325 1102 1078 217 295 158 169 187 150 163 272
"DUF6477 family protein" 7 3127 2298 2568 17 23 46 33 38 108 104 275
"helix-turn-helix domain-containing protein_21" 28 660 644 1148 42 71 104 49 90 67 90 103
"peroxiredoxin_1" 1412 1196 839 1617 1117 2017 2990 2784 4284 1303 1737 2173
"lipoyl synthase_2" 1784 6013 4099 6003 1726 2318 2085 1763 2433 2100 2681 3899
"amidohydrolase_2" 666 774 522 685 633 852 649 617 846 270 493 645
"hypothetical protein_254" 93 52 40 33 148 169 179 171 208 25 35 60
"hypoxanthine phosphoribosyltransferase" 563 403 240 455 271 467 352 278 535 294 383 480
"type II toxin-antitoxin system RatA family toxin" 1000 1712 978 887 611 911 805 587 883 1185 1716 2153
"ammonium transporter_1" 158 120 104 212 76 160 151 119 176 164 206 272
"CinA family protein" 175 242 176 162 227 333 216 220 338 141 188 306
"phosphatidylglycerophosphatase A" 454 312 233 352 322 424 358 318 455 238 267 424
"bifunctional 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase/2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase" 556 644 523 762 589 916 842 670 899 423 543 893
"tRNA dihydrouridine synthase DusB" 111 224 151 244 123 202 162 170 213 115 160 230
"ATP-binding protein_11" 177 184 136 236 126 160 152 110 190 120 140 227
"sigma-54-dependent Fis family transcriptional regulator" 474 534 404 622 322 466 479 396 448 336 484 683
"PAS domain-containing sensor histidine kinase" 1133 1347 859 942 1026 1454 1171 974 1429 802 1278 1366
"sigma-54 dependent transcriptional regulator_2" 2550 3308 2213 3010 2286 3184 2858 2519 3117 2334 3466 4194
"hypothetical protein_255" 506 1202 943 972 626 939 806 731 871 630 934 1013
"Trk system potassium transporter TrkA" 1783 1588 1157 1404 1444 1964 1661 1530 1974 858 1062 1674
"TrkH family potassium uptake protein_1" 804 597 452 486 635 903 771 588 937 310 476 552
"RNA chaperone Hfq" 841 2177 1051 326 1190 1585 1350 1386 1853 948 1370 1963
"GTPase HflX" 3053 1557 1080 1683 1766 2717 2273 1953 2723 973 1427 1618
"penicillin acylase family protein" 991 975 702 794 1132 1775 1298 1266 1774 725 1020 1450
"NAD(P)-dependent oxidoreductase_4" 274 262 189 447 195 363 293 248 283 248 250 314
"twin-arginine translocation pathway signal" 1809 1501 954 1034 2769 3650 2849 2871 3935 926 1540 2520
"porphobilinogen synthase" 878 1060 803 909 896 1226 1013 994 1306 931 1130 1621
"component of SufBCD complex" 392 396 190 330 314 462 348 312 524 238 440 533
"transcription-repair coupling factor" 1798 1556 1007 1321 1515 2105 1681 1495 2228 1203 1490 2161
"MFS transporter_12" 864 1296 961 923 1097 1520 1395 1332 2013 645 949 1548
"DsbA family oxidoreductase" 641 807 556 545 761 1003 678 717 1071 523 699 1152
"acyl--CoA ligase_3" 338 397 294 332 515 831 649 548 723 234 357 586
"XRE family transcriptional regulator_3" 1274 1961 1362 1235 1529 2374 1863 1767 2621 1002 1226 2202
"hypothetical protein_256" 68 340 184 114 58 92 68 84 91 141 217 250
"aquaporin family protein" 96 266 190 198 150 239 161 152 207 302 496 626
"arsenate reductase ArsC" 178 163 134 209 145 206 137 113 170 191 274 412
"helix-turn-helix domain-containing protein_22" 54 150 125 118 81 140 110 84 113 112 181 174
"extracellular solute-binding protein_4" 896 1100 808 1046 1161 1705 1222 1266 1616 763 1026 1366
"3-hydroxybutyrate dehydrogenase" 677 941 731 1032 630 931 920 765 1005 681 955 1222
"patatin-like phospholipase family protein" 310 377 237 426 232 290 292 268 285 205 353 439
"DUF502 domain-containing protein" 1246 2303 1769 1935 1330 1854 1615 1475 2025 1938 2767 3385
"pseudouridine-5'-phosphate glycosidase" 2268 1647 1279 2048 2003 3342 2323 2259 3319 1415 1626 2753
"PfkB family carbohydrate kinase" 1063 866 688 981 866 1412 941 939 1282 573 685 1189
"DUF4198 domain-containing protein" 136 247 175 175 156 247 200 203 222 141 198 326
"HupE/UreJ family protein" 342 599 463 692 319 548 539 413 487 296 446 547
"thiamine phosphate synthase_2" 1967 1167 878 1325 1026 1798 1160 1053 1566 781 1081 1768
"RNA methyltransferase_2" 365 373 234 413 336 499 348 309 429 266 383 515
"COX15/CtaA family protein" 384 304 277 404 253 488 308 240 373 349 473 556
"carboxypeptidase M32" 1948 1741 1169 1789 1518 2152 1953 1747 2006 1282 1823 2561
"hypothetical protein_257" 229 544 577 739 319 387 649 458 565 241 287 572
"DNA gyrase subunit A" 12273 7887 5818 7557 10310 15150 11388 11827 15545 6571 8396 12867
"usg protein" 21 197 100 110 33 19 46 49 70 75 86 72
"glucose-6-phosphate dehydrogenase_1" 171 366 198 326 210 270 262 221 316 195 303 344
"6-phosphogluconolactonase" 871 1026 678 1223 683 1013 824 615 937 572 829 1137
"thioesterase family protein" 243 270 215 136 324 513 449 341 543 223 309 509
"ASKHA domain-containing protein" 1618 2109 1511 2037 1575 2289 1826 1518 2220 1409 1607 2628
"CoA transferase_3" 36 35 30 40 31 42 98 32 82 476 594 636
"IMP dehydrogenase" 4234 3130 2391 3905 2970 4551 3827 3019 4554 2776 3512 5104
"RsmB/NOP family class I SAM-dependent RNA methyltransferase" 1414 1032 668 1175 1057 1501 1307 1055 1581 794 1029 1437
"ATP-binding protein_12" 2422 2627 2019 3159 1942 2460 2599 2240 3045 1247 1765 2651
"gamma-glutamyl kinase" 374 719 596 685 450 585 497 404 525 398 514 765
"recombinase RecA" 5465 7704 5446 6873 4016 5788 4798 4818 6743 5750 8787 11036
"alanine--tRNA ligase" 4340 4079 2800 4515 3180 4944 4303 3407 4791 3290 4116 5894
"DUF1330 domain-containing protein_2" 650 2622 1816 1897 1170 1635 1312 1165 1517 1293 1580 2735
"VOC family protein_5" 83 293 207 169 170 227 170 157 205 157 203 306
"translational GTPase TypA" 5263 7165 5297 10426 4028 6208 4674 4841 7425 5809 6462 11057
"SMR family transporter" 96 175 130 162 250 341 271 221 279 124 187 329
"HD domain-containing protein_2" 2790 1691 1258 1769 2037 3121 2268 1925 2632 1198 1663 2379
"hypothetical protein_258" 934 728 594 1315 795 1286 756 796 1104 556 623 1091
"alpha/beta hydrolase_8" 3084 5932 4194 3201 5784 8260 6125 5450 7610 4229 5377 8826
"Rrf2 family transcriptional regulator_2" 632 1868 949 764 494 731 1846 1622 2617 606 813 979
"cysteine desulfurase_1" 490 1134 770 978 366 536 1221 1206 1593 517 857 992
"Fe-S cluster assembly protein SufB" 3971 7954 6297 11999 2601 4282 8252 8120 11370 6358 8985 9329
"heavy metal-binding domain-containing protein" 516 1627 1388 2488 531 946 1809 1483 2094 1261 1572 1843
"Fe-S cluster assembly ATPase SufC" 4851 7137 5913 11190 2948 4611 11203 8357 11913 6285 8054 9815
"SufD family Fe-S cluster assembly protein" 7162 8449 6657 12232 4071 6334 13406 10849 15966 7603 10320 12399
"YIP1 family protein" 937 1407 1052 1261 838 1210 2497 1795 2753 830 1528 1950
"cysteine desulfurase_2" 785 1561 1285 1191 869 1486 1924 1869 2944 1212 1588 2138
"UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase_1" 568 1363 942 770 1051 1187 1615 1542 2133 553 730 1153
"DUF2059 domain-containing protein" 375 512 365 465 314 477 374 352 378 303 468 619
"50S ribosomal protein L21" 36865 13198 8214 13731 17402 27787 19778 17871 30820 12773 16116 26066
"50S ribosomal protein L27" 4831 7999 4366 3944 9217 14052 9975 8759 16260 6957 9596 16493
"GNAT family N-acetyltransferase_13" 596 680 556 709 393 667 574 500 710 547 604 991
"GTPase ObgE" 357 392 188 363 284 411 311 235 384 203 299 471
"glutamate 5-kinase" 1085 954 660 927 780 1218 875 762 1225 631 704 1085
"glutamate-5-semialdehyde dehydrogenase" 1319 938 599 925 895 1383 1003 927 1401 654 824 1220
"histidine phosphotransferase family protein" 2207 1343 1017 1218 1387 2054 1951 1799 2626 857 1077 1944
"DUF3553 domain-containing protein" 287 559 391 284 548 873 658 583 978 363 432 765
"GNAT family N-acetyltransferase_14" 582 464 253 324 418 571 618 432 673 261 330 457
"1-acyl-sn-glycerol-3-phosphate acyltransferase_4" 551 402 244 252 432 589 488 350 646 213 306 453
"30S ribosomal protein S2" 25443 11697 8867 12048 19055 30410 22334 21078 31763 13346 15770 26789
"translation elongation factor Ts" 36693 8674 6539 14119 14383 24021 17456 16850 25402 11025 12849 21100
"LuxR family transcriptional regulator_3" 200 395 282 161 387 457 402 391 504 176 305 329
"type II 3-dehydroquinate dehydratase" 251 590 340 260 443 515 500 436 638 394 520 692
"NADPH:quinone oxidoreductase family protein_1" 622 542 414 535 688 888 878 736 834 406 516 674
"nitronate monooxygenase family protein" 555 435 296 395 534 778 719 587 674 373 586 608
"phosphotransferase family protein" 319 194 151 248 282 407 376 254 310 174 256 349
"IclR family transcriptional regulator_5" 61 45 52 63 69 104 81 55 70 61 79 84
"enoyl-CoA hydratase/isomerase family protein_1" 583 1166 1122 1183 503 680 782 667 762 394 473 706
"beta-lactamase family protein_2" 123 332 322 386 192 245 231 226 327 126 161 248
"acyl-CoA thioesterase II" 363 375 296 312 379 538 484 381 609 197 316 451
"SDR family NAD(P)-dependent oxidoreductase_4" 184 287 203 209 158 228 235 206 300 196 354 352
"acyl-CoA dehydrogenase_3" 7590 2152 1608 2408 7248 11187 10298 8982 10904 8153 10466 16358
"LysR family transcriptional regulator_11" 370 468 336 251 431 678 566 425 690 279 441 513
"phosphate regulon transcriptional regulator PhoB" 814 977 727 959 566 776 535 565 728 537 654 953
"phosphate signaling complex protein PhoU" 480 945 677 1470 484 700 524 526 670 569 633 1049
"phosphate ABC transporter ATP-binding protein PstB" 811 1720 1213 1601 766 1072 820 832 1100 943 1028 1560
"phosphate ABC transporter permease PstA" 739 1477 997 1815 574 691 659 509 675 743 866 1359
"phosphate ABC transporter permease subunit PstC" 1006 2188 1836 3388 714 1063 970 751 1038 1155 1332 2212
"substrate-binding domain-containing protein_3" 1200 4072 3527 8940 1145 1691 1271 1270 1468 2133 2350 3716
"ATP-binding protein_13" 291 538 459 369 375 548 445 458 574 277 366 556
"aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme_4" 1636 1610 1317 2428 1511 2399 1896 1817 2384 1174 1388 1905
"gamma carbonic anhydrase family protein" 593 622 517 780 647 1009 716 670 893 604 679 892
